,symbol,cov,market_cap
71,DIS,-3080.753011751279,178202.16
267,VZ,-14228.581745276666,175399.44179279296
202,PFE,-1152.6812430827638,159741.18098980567
238,T,-8532.374821181422,135838.86573375782
20,BA,-63403.91766071087,114351.24431394922
170,MDT,-7463.898166314815,98715.55303735546
10,AMT,-12888.925889818755,90602.49304729248
29,BMY,-4117.449766474935,85716.08275575732
174,MMM,-24287.890862295248,55668.118170038084
147,KMB,-7567.773966047255,46405.235743570316
193,O,-7910.021184649344,45585.018408904296
148,KMI,-502.27292297195714,44032.49890377051
39,CCI,-18172.687498826926,41727.24392781641
62,D,-23586.214508791036,40443.681136
152,KVUE,-2803.3396102586953,34524.02532631568
163,LVS,-7858.548660787421,31850.758224
63,DAL,-1494.0956355711282,30331.583000109375
67,DG,-8265.587127997462,28713.890547279785
90,EQR,-3298.655957908855,25823.151848693848
270,WEC,-7743.3405580374265,24574.187481427733
40,CCL,-14187.880506079084,22886.791707907716
95,ETR,-6190.355925290663,22583.67273008423
104,FE,-5444.236887744188,22088.303191202394
281,ZBH,-209.9575964698531,21745.26376171875
265,VTR,-3910.746949006102,20615.140758407226
249,TSN,-12411.322645395414,20503.479343605104
225,SBAC,-12930.257894363973,20468.965339797975
14,ARE,-8724.346683998643,20226.969345720703
212,PPL,-2556.7048084412954,20188.28207722449
92,ES,-16951.45041585176,19955.246740698487
145,K,-3593.5283450618367,19350.633878326415
173,MKC,-4723.785131827874,18779.435473006837
93,ESS,-3102.186537800648,18133.77296482544
48,CMS,-1566.5601483229416,17520.915372542968
21,BAX,-32880.74451412814,16846.715499801634
162,LUV,-10765.852520210145,16822.598525268553
45,CLX,-19757.905764253526,16705.770290588378
126,HRL,-8510.86298980622,16684.922047649416
252,UAL,-18287.303905933935,15894.337456891357
73,DOC,-7466.921478196066,13766.87459254834
34,CAG,-595.7961040109458,13607.990825144348
54,CPB,-4845.363169092341,13537.930768925782
185,NI,-17.980055726875005,12866.353612429566
266,VTRS,-6103.440923481076,12573.581975469238
97,EVRG,-5860.13191829683,12126.455424008178
235,SWK,-14382.185756457586,12011.794988798829
134,INCY,-23760.84545929931,11817.466501082397
33,BXP,-36870.89626586598,10599.71021533966
242,TFX,-73939.00791081556,9959.373858996581
230,SOLV,-3289.8569691030452,8885.9295
209,PNW,-12543.026287921919,8616.85660810089
107,FRT,-3325.6810347353767,8393.495486633301
119,HAS,-23781.21863645998,7968.7378814086915
180,MTCH,-7314.213304566263,7842.519481613159
182,NCLH,-16671.315312596365,7551.035698137452
198,PARA,-12300.165641554042,7368.145773074707
1,AAL,-6166.766061301835,7249.794448339233
